Continent,Country,"University, Research Center or Network","Department, Faculty, School","Research Group, Lab","PhD Programme (Science, Art, Number)","Contact Person",Links,Focus/Specialization
Africa,"South Africa","Monash University, Johannesburg","School of Arts, Communication and Media Studies",-Lab-,-PhD-,Rose-Marie,http://www.monash.ac.za,"Philosophy of Gaming"
Asia,Japan,"Tokyo Polytechnic University","Department of Animation","Game course",B.A.,-Contact-,http://www.t-kougei.ac.jp/e/arts/game.html,"undergraduate game development course started in 2007"
Asia,Japan,"Ritsumeikan University","College of Image Arts and Sciences",-Lab-,B.A.,-Contact-,http://www.ritsumei.ac.jp/eng/,"undergraduate creator/producer course started in 2007"
Asia,Japan,"University of Tokyo","Interfaculty Initiative in Information Studies","Research Core for Education in Digital Content Creation","no degree",-Contact-,http://content.iii.u-tokyo.ac.jp/en/link/,"interdisciplinary program (curriculum and faculties are not focused on digital games)"
Asia,Korea,"Korea Advanced Intitute of Science and Technology (KAIST)","Graduate School of Culture Technology",-Lab-,-PhD-,"D. Yvette Wohn",http://www.kaist.edu/,-Focus-
Asia,Singapore,"Nanyang Technological University","School of Computer Engineering",gameLAB,-PhD-,-Contact-,http://www3.gamelab.ntu.edu.sg/,"Game technology"
Asia,Thailand,-,"Thai Simulation and Gaming Association",-,-PhD-,-Contact-,http://www3.gamelab.ntu.edu.sg/,"is a professional organization for teachers, trainers, researchers, practitioners and other professionals.  Its aim is to enable the sharing of expertise in the field of simulation, gaming and experiential methods for teaching, learning, development and assessment."
Europe,Austria,"Danube-University Krems","Department of Image Science",-Lab-,-PhD-,"Michael Wagner",http://www.appliedgames.at,-Focus-
Europe,Austria,"FH-Joanneum University of Applied Science Graz","Game Design",-Lab-,-PhD-,"Maja Pivec",http://www.engagelearning.eu,-Focus-
Europe,Austria,"University of Vienna","Faculty for Philosophy and Educational Sciences","Media Education",-PhD-,"Christian Swertz",http://mediaeducation.univie.ac.at/,"Educational Philosophy of Games, Games and Learning, Serious Games, Video Game Addiction,  Live Long Gaming Research"
Europe,Austria,"TU Vienna",-Department-,-Lab-,-PhD-,-Contact-,-www-,-Focus-
Europe,Belgium,"Group T Engineering School","eMedia Lab (associated within the Catholic University of Louvain)",-Lab-,-PhD-,"Bob Deschutter",http://emedia.groept.be,"serious games, tangible play"
Europe,Belgium,"MAD Faculty",Play&Game,-Lab-,-PhD-,"Veerle Van der Sluys",http://www.playandgame.be,"serious games, playful design, game art"
Europe,Belgium,"MICT Gaming Cell","Department of Communication Research, University of Ghent","Research group and gaming-lab","no degree","Jan Van Looy",http://mict.be,"Game experience and use, serious games, immersive and virtual media"
Europe,Denmark,"Danish School of Education (Copenhagen)",-Department-,"Games and Learning research group",-PhD-,-Contact-,http://www.dpu.dk/site.aspx?p=11097,"Serious Games on a Global Market Place; prototypes of learning games."
Europe,Denmark,"ITU Copenhagen",-Department-,"Center for Computer Games Research",-PhD-,"Espen Aarseth",http://game.itu.dk,"Game studies, game design, artificial intelligence"
Europe,Finland,"Helsinki School of Economics","Center for Innovation and Knowledge Research","Knowledge Media Laboratory",-PhD-,"Niklas Ravaja",http://www.hse.fi/EN/ckir,-Focus-
Europe,Finland,"Helsinki University of Technology","Helsinki Institute of for Information Technology","Digital Content Communities research group",-PhD-,"Kai Kuikkaniemi",http://www.hiit.fi,"Not solely on gaming"
Europe,Finland,"University of Jyvaskyla",-Department-,"Agora Game lab",-PhD-,-Contact-,http://www.peda.net/veraja/jyu/ac/agl/English,-Focus-
Europe,Finland,"University of Art and Design Helsinki (TaiK)","Crucible Studio","Media Lab",-PhD-,-Contact-,"http://mlab.taik.fi/research/research_groups/crucible_studio/; http://mlab.taik.fi/","games in narrative/storytelling practice-based research context"
Europe,Finland,"University of Tampere","School of Information Sciences (SIS)","Games Research Lab","Master's Degree Programme in Internet and Game Studies; PhD (open for international applicants) -","Frans Mäyrä","http://gamelab.uta.fi/ http://www.uta.fi/admissions/degreeprog/programmes/igs.html","Game cultures, game design research, player experiences and evaluation methods."
Europe,France,ENJIM,-Department-,-Lab-,-PhD-,-Contact-,http://www.enjmin.fr,"Game Design"
Europe,France,"ENS Lyon",Geography,"laboatoire junior de LENS LSH",-PhD-,-Contact-,http://jeuxvideo.ens-lsh.fr,-Focus-
Europe,France,"OMNSH - Digital World Observatory in Human Science",-Department-,-Lab-,-PhD-,-Contact-,http://www.omnsh.org,-Focus-
Europe,Germany,"Academy of Fine Arts Saar","Media Art & Design",xm:lab,"BA, MA, PhD (Dr. Phil.)","Burkhard Detzler, Michael Schmitz, Soenke Zehle",http://www.xmlab.org,"Technologies of Play"
Europe,Germany,"Bremen University of Applied Sciences","Gangs of Bremen",-Lab-,-PhD-,"Barbara Grüter",http://www.gangs-of-bremen.de,"Mobile Gaming Experiences and Human-Computer Interaction"
Europe,Germany,"GEElab Europe, Karlsruhe (a European branch of RMIT University, Australia","School of Media & Communication","GEElab (Games & Experimental Entertainment Laboratory)",-PhD-,"Steffen P Walz",http://geelab.rmit.edu.au,"Game design and game thinking applied to topics such as urban mobility, in-car HCI, enterprise innovation, occupational safety, reading for pleasure, collaborative learning, storytelling and experimental entertainment. Also, the AUS branch are host to the Games for Change ANZ Festivals 2012 & 2013"
Europe,Germany,"IJK Hannover",-Department-,-Lab-,-PhD-,-Contact-,-www-,-Focus-
Europe,Germany,"Ilmenau University of Technology","Institute of Media and Communication Science","Department of Virtual Worlds and Digital Games","BA, MA, Dr. phil.","Jeffrey Wimmer",http://ifmk.de/,"Social scientific aspects of gaming & Technology of games"
Europe,Germany,"Universität Duisburg-Essen","Fakultät für Ingenieurwissenschaften","Informatik und Angewandte Kognitionswissenschaft",-PhD-,"Maic Masuch",http://www.fb9dv.uni-duisburg.de/medieninformatik.html,"Computer graphics"
Europe,Germany,"University of Applied Science Köln",Psychologie,"Humanwissenschaftliche Fakultät",-PhD-,"Winfried Kaminski",http://www.f01.fh-koeln.de/wvw/,"effects of virtual worlds"
Europe,Germany,"University of Applied Sciences Bremen","Gangs of Bremen - Mobile Gaming Experiences and Human Computer Interaction",-Lab-,-PhD-,"Barbara Grüter",http://www.gangs-of-bremen.de,-Focus-
Europe,Germany,"University of Bonn","Institute of Computer Science III","Mobile Gaming",-PhD-,"Armin B. Cremers",http://amoga.iai.uni-bonn.de,"Location-Based Gaming"
Europe,Germany,"University of Magdeburg","Intitute of Educational Science","Media Literacy: Visual Culture and Communication",-PhD-,"Johannes Fromme",http://www.meb.ovgu.de,-Focus-
Europe,Germany,"University of Mainz",-Department-,-Lab-,-PhD-,"Christoph Klimmt",-www-,"Education and psychiology"
Europe,Germany,"University of Münster","Department of Communication","Online communication",-PhD-,"Thorsten Quandt",http://www.uni-muenster.de/Kowi/,"Media effects research"
Europe,Germany,"University of Paderborn","Institute for Media Science","Medienorganisation und Mediensystem",-PhD-,"Jörg Müller-Lietzkow","http://www.morgsys.de; www.shahmat.de",-Focus-
Europe,Germany,"University of Potsdam","Digital Games Research Center, DIGAREC",-Lab-,-PhD-,"Stephan Günzel",http://www.digarec.org,"Interdisziplinary (Game Studies, Psychology, Computer Science, Design, Law)"
Europe,Germany,"Trier University of Applied Sciences","Department of Computer Science","Digital Media and Games",B.Sc./M.Sc.,"Georg Schneider",http://www.fh-trier.de/go/dms,Technology
Europe,Germany,"Trier University of Applied Sciences","Department of Design","Intermedia Design",-PhD-,"Marcus Haberkorn",http://intermediales-design.de,-Focus-
Europe,Germany,"HTW Berlin, University of Applied Sciences",gameslab,"gameslab, Games & Interactive Media Research Group","BA & MA","Erik Schulz",http://www.games-lab.de,"research & development"
Europe,Greece,"Ionian University, Corfur","Department of Informatics",-Lab-,-PhD-,"Kostas Anagnostou",http://www.ionio.gr/depts/cs/en/,"Game Technology, Videogames and Virtual Worlds in Education, Accessibility Issues in Videogames"
Europe,Italy,"University of Bologna","Discipline Della Comunicazione","Discipline Semiotiche","MA, PhD","Giovanna Cosenza","http://disciplinesemiotiche.dsc.unibo.it http://www.sssub.unibo.it/pagine_principali/dot_sem.htm","Semiotics of New Media"
